url,namn,annat_namn,kategori,muggnummer,tillverkad,tema,varumarke,designer,vikt,volym,material,bildfil
https://www.mukify.com/sv/arabia-muminmugg-snostorm-2020,Snöstorm,,Muminmugg,104,2020,Vintersäsong,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-snostorm-2020.jpg
https://www.mukify.com/sv/arabia-muminmugg-muminmammans-muralmalning-2020,Muminmammans muralmålning,,Muminmugg,103,2020–,Moominvalley,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-muminmammans-muralmalning-2020.jpg
https://www.mukify.com/sv/arabia-muminmugg-snusmumriken-och-eldens-ande-2020,Snusmumriken och eldens ande,,Muminmugg,102,2020–,Moominvalley,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-snusmumriken-och-eldens-ande-2020.jpg
https://www.mukify.com/sv/arabia-muminmugg-vilopaus-2020,Vilopaus,,Muminmugg,101,2020,Sommarsäsong,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-vilopaus-2020.jpg
https://www.mukify.com/sv/arabia-muminmugg-misan-2020,Misan,,Muminmugg,100,2020–,,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-misan-2020.jpg
https://www.mukify.com/sv/arabia-muminmugg-snorkfroken-2020,Snorkfröken,Snorkfröken lila,Muminmugg,99,2020–,,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-snorkfroken-2020.jpg
https://www.mukify.com/sv/arabia-muminmugg-djupsno-2019,Djupsnö,,Muminmugg,98,2019,Vintersäsong,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-djupsno-2019.jpg
https://www.mukify.com/sv/arabia-muminmugg-sov-gott-2019,Sov gott,,Muminmugg,97,2019–,,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-sov-gott-2019.jpg
https://www.mukify.com/sv/arabia-muminmugg-trollvinter-2019,Trollvinter,,Muminmugg,96,2019,Moominvalley,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-trollvinter-2019.jpg
https://www.mukify.com/sv/arabia-muminmugg-den-gyllene-svansen-2019,Den gyllene svansen,,Muminmugg,95,2019,Moominvalley,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-den-gyllene-svansen-2019.jpg
https://www.mukify.com/sv/arabia-muminmugg-ensam-hemma-2019,Ensam hemma,,Muminmugg,94,2019,Moominvalley,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-ensam-hemma-2019.jpg
https://www.mukify.com/sv/arabia-muminmugg-den-sista-draken-2019,Den sista draken,,Muminmugg,93,2019,Moominvalley,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-den-sista-draken-2019.jpg
https://www.mukify.com/sv/arabia-muminmugg-kvallsdopp-2019,Kvällsdopp,,Muminmugg,92,2019,Sommarsäsong,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-kvallsdopp-2019.jpg
https://www.mukify.com/sv/arabia-muminmugg-moominvalley-park-japan-2019-2022,Moominvalley Park Japan,,Muminmugg,91,2019–2022,,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-moominvalley-park-japan-2019-2022.jpg
https://www.mukify.com/sv/arabia-muminmugg-ninni-2019,Ninni,Ninni puder,Muminmugg,90,2019–,,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-ninni-2019.jpg
